user_id,name,country
1,User1,CA
2,User2,US
3,User3,US
4,User4,CA
5,User5,GB
6,User6,IN
7,User7,IN
8,User8,IN
9,User9,CA
10,User10,US
11,User11,CA
12,User12,CA
13,User13,FR
14,User14,US
15,User15,FR
16,User16,DE
17,User17,US
18,User18,US
19,User19,US
20,User20,IN
21,User21,IN
22,User22,FR
23,User23,FR
24,User24,US
25,User25,FR
26,User26,IN
27,User27,CA
28,User28,CA
29,User29,CA
30,User30,FR
31,User31,DE
32,User32,IN
33,User33,DE
34,User34,FR
35,User35,GB
36,User36,US
37,User37,IN
38,User38,CA
39,User39,DE
40,User40,GB
41,User41,GB
42,User42,IN
43,User43,IN
44,User44,GB
45,User45,US
46,User46,US
47,User47,DE
48,User48,US
49,User49,GB
50,User50,GB
