product_id,product_name,category,price
1,Product_1,Home,404.53
2,Product_2,Books,270.43
3,Product_3,Books,44.01
4,Product_4,Home,415.56
5,Product_5,Home,290.79
6,Product_6,Electronics,27.68
7,Product_7,Clothing,387.67
8,Product_8,Electronics,428.38
9,Product_9,Electronics,193.16
10,Product_10,Books,319.66
11,Product_11,Home,85.51
12,Product_12,Home,108.71
13,Product_13,Home,352.4
14,Product_14,Electronics,306.52
15,Product_15,Clothing,269.4
16,Product_16,Clothing,85.88
17,Product_17,Books,138.62
18,Product_18,Clothing,343.88
19,Product_19,Electronics,118.38
20,Product_20,Electronics,403.5
